pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	1374	4863	3084	2814	1817	1354	914	637	429	147	177	26	5
home---secondary	654	625	405	316	286	251	249	276	261	212	190	152	971
home---work	5949	7162	3454	2136	1860	927	584	643	674	651	728	849	4525
pt interaction---home	32	105	144	111	72	41	56	74	27	4	7	0	0
pt interaction---pt interaction	1954	3925	735	235	171	260	633	280	180	144	155	233	2444
pt interaction---secondary	439	603	282	135	91	63	12	2	2	3	0	0	0
pt interaction---work	1112	1720	950	660	523	363	108	9	5	8	8	0	0
secondary---home	249	547	424	296	241	216	196	209	195	148	127	102	485
secondary---pt interaction	659	804	359	227	148	105	24	11	4	4	3	0	0
work---home	653	1541	1167	668	623	488	395	382	403	385	280	287	1082
work---pt interaction	1280	1859	1022	726	621	425	128	11	9	8	11	0	0

average trip duration: 2243.318324129234 seconds = 00:37:23
